node_id,is_ip,is_user,degree,total_attempts,failure_rate,specific_feature,num_countries,num_cities,conn_freq,ua_diversity,score_orig,score_imp
6e3b113931370e9f97dc454dbad788a3720b3e1b8a477a533309a251c32b4f5c,1.0,0.0,0.0,0.0003081664,0.0,0.0,0.0,0.0,0.87112,0.0,0.8011158,0.8676466
4712a2b552987fd33a167672462d43739b7626f3309918dd3779f835873c17c4,1.0,0.0,0.0,0.0003081664,0.0,0.0,0.0,0.0,0.82513607,0.0,0.7898394,0.8615786
a6ae2f83027baa965079760dc87b2a22c78a9c2b742bb90dd4d05f5136ba2b67,1.0,0.0,0.0,0.0003081664,0.0,0.0,0.0,0.0,0.8117631,0.0,0.78648865,0.86035377
2c607a0d42e25f068905ebefcd18dd17ed8870722a6e54eca8593a72a7e34a9a,1.0,0.0,0.0,0.0003081664,0.0,0.0,0.0,0.0,0.69247144,0.0,0.7523056,0.84350806
deb36c45591fff57c9fa8df5c16bb95d94c9d47ddd42e019f2fee62ffd93f0d9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8188735,0.8432006
93fa07951bed250f6bb3e8fa7555475fa2bcdd9eb9568fd891b3073bd062efec,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.81887877,0.8431802
34e20525b3ef432b70bc995f18354305af797eeac38c1a9cccf69bd1a1f83000,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.81932557,0.8416138
14cc25e1bb7935b6bed6c4fe91eacdee58eace9874d74a12ee8415c00ca76e29,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8195592,0.84023106
a45474bec36d7a99be722ac222accb0ce4033ba9a161320f77188c8418d8fd37,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8195732,0.8400943
19283a19c4748b16c159ad90001cb67d7267ffbc67be6d4ff68ac9cf9b79a6f3,1.0,0.0,0.0,0.0003081664,0.0,0.0,0.0,0.0,0.655164,0.0,0.74544716,0.8382702
3e496b8d083d533090be30efa94b0c7704f26816fa5587a3584155d98e805c7f,1.0,0.0,0.0,0.0003081664,0.0,0.0,0.0,0.0,0.6424722,0.0,0.74337894,0.83636206
1c4f6bfe4ac922cbbbe0ada0c9e19a34998b31faaef769e02b8b456aece6d193,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.782719,0.81100816
757a7a4d9044c7e55c8e6ca3280fe6cc189484db8f0d053694e6cc5ef6fb6f42,1.0,0.0,0.0,0.0006163328,0.0,0.0,0.0,0.0,0.11718521,0.012820513,0.7526205,0.8034229
6fcccb08edf088473b75f0bd02a3e18bf281f7e28b438bdd0d4e7ac582a1831a,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7562629,0.79583514
49752ada77f7ee887b155ca9ba4d7a558bcf2c559cd7c686859a5a80caf11cc8,1.0,0.0,0.0,0.0006163328,0.0,0.0,0.0,0.0,0.052663453,0.012820513,0.74067307,0.788934
4dfd144d59ea4f0bf1317e7570b3dba7a4e16b5501519aecd5abe8027540bafd,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.73814625,0.78549916
719420c22cc94164a49218241e1084cc45382b575f052cc9ac0e5c48d8c8cf41,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7379683,0.7853996
8bb40de0b7b9f04c81bf64a8e392fe7f2d648067b1668c82fb08111e9eb41e0f,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7339317,0.7832804
73caf0f9ab75ca10faefbd90eae96aabd174764d41b18301eabae419ad9b4ba6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7294308,0.78099144
4741ebee23275f8330f4192d4a506510fa20be4b695a5b117bbb73272ae05b2f,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7282139,0.78037375
