Modèle,Test AUC,Test AP,Val AUC,Val AP
GAE Original,0.3630579669956959,0.6086220725675204,0.3375136598579822,0.5923960951781853
GAE Amélioré,0.9120288373951377,0.9536770132983304,0.923248370134817,0.9598985045089896
